Sentence #,Word,Tag
,فصل,O
,سال,O
,است,O
,،,O
,بر,O
,شاعر,O
,گذاشته,O
,است,O
,!,O
Sentence: 7,»,O
,کتاب,O
,«,O
,از,O
,پاییز,O
,...,O
,»,O
,در,O
,430,O
,صفحه,O
,،,O
,با,O
,شمارگان,O
,1000,O
,نسخه,O
,و,O
,قیمت,O
,28000,O
,تومان,O
,در,O
,نشر,B_ORG
,پوینده,I_ORG
,به,O
,بازار,O
,نشر,O
,آمده,O
,است,O
,.,O
Sentence: 8,این,O
,انتشارات,O
,همچنین,O
,کتاب,O
,«,O
,میگرن,O
,:,O
,50,O
,اقدام,O
,فوری,O
,برای,O
,کنترل,O
,میگرن,O
,»,O
,نوشته,O
,وندی,B_PER
,گرین,I_PER
,را,O
,با,O
,ترجمه,O
,مهدی,B_PER
,قراچه داغی,I_PER
,،,O
,در,O
,108,O
,صفحه,O
,،,O
,با,O
,شمارگان,O
,2000,O
,نسخه,O
,و,O
,قیمت,O
,9000,O
,تومان,O
,منتشر,O
,کرده,O
,است,O
,.,O
Sentence: 9,در,O
,دیباچه,O
,کتاب,O
,آمده,O
,است,O
,:,O
,میگرن,O
,روی,O
,اشخاص,O
,مختلف,O
,به,O
,شیوه های,O
,گوناگون,O
,تاثیر,O
,می گذارد,O
,.,O
Sentence: 10,بعضی ها,O
,به,O
,این,O
,نتیجه,O
,می رسند,O
,هر,O
,دارویی,O
,هم,O
,که,O
,مصرف,O
,کنند,O
,،,O
,یکی,O
,دو,O
,روز,O
,حالشان,O
,بد,O
,است,O
,و,O
,نمی توانند,O
,به,O
,کار,O
,و,O
,زندگی شان,O
,برسند,O
,.,O
Sentence: 11,اما,O
,جمعی,O
,دیگر,O
,با,O
,خوردن,O
,چند,O
,قرص,O
,مسکن,O
,حالشان,O
,بهتر,O
,می شود,O
,و,O
,می توانند,O
,روزشان,O
,را,O
,سر,O
,کنند,O
,.,O
Sentence: 12,اما,O
,بدون,O
,توجه,O
,به,O
,این,O
,که,O
,حمله,O
,چقدر,O
,شدید,O
,یا,O
,چقدر,O
,ملایم,O
,است,O
,،,O
,اغلب,O
,بیماران,O
,میگرنی,O
,سعی,O
,می کنند,O
,از,O
,راه,O
,کارهای,O
,خودیار,O
,استفاده,O
,کنند,O
,.,O
Sentence: 13,انتهای,O
,پیام,O
Sentence: 14,دبیر,O
,جشنواره,O
,بهار,O
,نارنج,O
,بابل,B_LOC
,خبر,O
,داد,O
,.,O
Sentence: 15,برگزاری,O
,ششمین,O
,جشنواره,O
,بهار,O
,نارنج,O
,در,O
,بابل,B_LOC
,.,O
Sentence: 16,خبرگزاری,B_ORG
,فارس,I_ORG
,:,O
,برگزاری,O
,ششمین,O
,جشنواره,O
,بهار,O
,نارنج,O
,در,O
,بابل,B_LOC
,.,O
Sentence: 17,دبیر,O
,جشنواره,O
,بهار,O
,نارنج,O
,بابل,B_LOC
,گفت,O
,:,O
,ششمین,O
,جشنواره,O
,بهار,O
,نارنج,O
,از,B_DAT
,15,I_DAT
,تا,I_DAT
,17,I_DAT
,اردیبهشت ماه,I_DAT
,در,O
,بابل,B_LOC
,برگزار,O
,می شود,O
,.,O
Sentence: 18,مرتضی,B_PER
,حسینی,I_PER
,امروز,O
,در,O
,گفت وگو,O
,با,O
,خبرنگار,O
,خبرگزاری,B_ORG
,فارس,I_ORG
,در,O
,شهرستان,B_LOC
,بابل,I_LOC
,،,O
,اظهار,O
,کرد,O
,:,O
,با,O
,تدابیر,O
,اتخاذشده,O
,و,O
,انجام,O
,مراحل,O
,قانونی,O
,ششمین,O
,جشنواره,O
,بهار,O
,نارنج,O
,بابل,B_LOC
,مقارن,O
,با,O
,مبعث,O
,رسول,B_PER
,اکرم,I_PER
,(ص),I_PER
,آغاز,O
,به,O
,کار,O
,کرد,O
,.,O
Sentence: 19,وی,O
,با,O
,اشاره,O
,به,O
,اینکه,O
,با,O
,شکل گیری,O
,مدیریت,O
,فرهنگی,O
,در,O
,بدنه,O
,شهرداری,B_ORG
,بابل,I_ORG
,امیدواریم,O
,شاهد,O
,اجرای,O
,جشنواره ای,O
,ارزنده ای,O
,باشیم,O
,،,O
,افزود,O
,:,O
,جشنواره,O
,بهار,O
,نارنج,O
,بابل,B_LOC
,از,B_DAT
,15,I_DAT
,تا,I_DAT
,17,I_DAT
,اردیبهشت ماه,I_DAT
,از,B_TIM
,ساعت,I_TIM
,8:30,I_TIM
,تا,I_TIM
,12,I_TIM
,شب,I_TIM
,و,O
,برنامه های,O
,جانبی,O
,این,O
,جشنواره,O
,نیز,O
,از,B_DAT
,13,I_DAT
,تا,I_DAT
,17,I_DAT
,اردیبهشت ماه,I_DAT
,از,B_TIM
,9,I_TIM
,صبح,I_TIM
,تا,I_TIM
,12,I_TIM
,شب,I_TIM
,برگزار,O
,می شود,O
,.,O
Sentence: 20,دبیر,O
,جشنواره,O
,بهار,O
,نارنج,O
,بابل,B_LOC
,از,O
,فعالیت,O
,30,O
,غرفه,O
,در,O
,این,O
,جشنواره,O
,خبر,O
,داد,O
,و,O
,تصریح,O
,کرد,O
,:,O
,در,O
,این,O
,غرفه ها,O
,محصولات,O
,متناسب,O
,با,O
,بهار,O
,نارنج,O
,،,O
,غذاهای,O
,سنتی,O
,و,O
,بومی,O
,مازندرانی,O
,از,O
,سوی,O
,علاقه مندان,O
,،,O
,هنرمندان,O
,و,O
,مراکز,O
,خیریه,O
,ارایه,O
,می شود,O
,.,O
Sentence: 21,حسینی,B_PER
,یادآور,O
,شد,O
,:,O
,هنرمندانی,O
,چون,O
,استاد,B_PER
,افتخاری,I_PER
,،,O
,اخشابی,B_PER
,،,O
,افشار,B_PER
,،,O
,امامی,B_PER
,،,O
,کریم,B_PER
,خوانی,I_PER
,،,O
,فانی,B_PER
,،,O
,عزیزی,B_PER
,،,O
,مسعودی,B_PER
,و,O
,کرمی,B_PER
,در,O
,این,O
,جشنواره,O
,حضور,O
,داشته,O
,و,O
,لحظات,O
,شادی,O
,را,O
,برای,O
,شهروندان,O
,رقم,O
,می زنند,O
,.,O
Sentence: 22,وی,O
,برگزاری,O
,مسابقات,O
,آشپزی,O
,،,O
,عرضه,O
,غذای,O
,بومی,O
,محلی,O
,،,O
,برگزاری,O
,مسابقات,O
,نقاشی,O
,با,O
,موضوع,O
,بهار,O
,برای,O
,دو,O
,گروه,O
,سنی,O
,کودکان,O
,زیر,O
,7,O
,سال,O
,و,O
,7,O
,تا,O
,12,O
,سال,O
,،,O
,اجرا,O
,برنامه,O
,عصری,O
,با,O
,شعر,O
,بهار,O
,نارنج,O
,،,O
,عصری,O
,با,O
,داستان,O
,کوتاه,O
,بهار,O
,نارنج,O
,همراه,O
,با,O
,معرفی,O
,اهل,O
,قلم,O
,،,O
,برگزاری,O
,کارگاه های,O
,آموزشی,O
,در,O
,قالب,O
,نگهداری,O
,گل,O
,و,O
,گیاه,O
,آپارتمانی,O
,و,O
,مهارت های,O
,زندگی,O
,،,O
,برگزاری,O
,جشن,O
,شکوفه های,O
,بهار,O
,نارنج,O
,،,O
,اجرای,O
,برنامه های,O
,شاد,O
,هر,O
,صبح,O
,برای,O
,بچه های,O
,مهد,O
,کودک,O
,و,O
,دبستان,O
,،,O
,اجرای,O
,برنامه,O
,رادیو,O
,بهار,O
,نارنج,O
,با,O
,اجرا,O
,زنده,O
,موسیقی,O
,بومی,O
,مازندرانی,O
,،,O
,اجرای,O
,خوانندگان,O
,جوان,O
,بابلی,O
,،,O
,اجرای,O
,مسابقات,O
,و,O
,بازی های,O
,بومی,O
,مازندران,B_LOC
,را,O
,از جمله,O
,برنامه های,O
,جانبی,O
,در,O
,این,O
,جشنواره,O
,برشمرد,O
,.,O
Sentence: 23,دبیر,O
,جشنواره,O
,بهار,O
,نارنج,O
,بابل,B_LOC
,با,O
,اشاره,O
,به,O
,شکل گیری,O
,مدیریت,O
,فرهنگی,O
,،,O
,اجتماعی,O
,و,O
,ورزشی,O
,شهرداری,B_ORG
,بابل,I_ORG
,،,O
,ادامه,O
,داد,O
,:,O
,در,O
,گذشته,O
,به,O
,سبب,O
,فقدان,O
,مدیریت,O
,فرهنگی,O
,در,O
,شهرداری,B_ORG
,بابل,I_ORG
,اطلاعات,O
,کاملی,O
,در,O
,حوزه,O
,فرهنگی,O
,،,O
,اجتماعی,O
,و,O
,ورزشی,O
,در,O
,دسترس,O
,نبود,O
,که,O
,مقرر,O
,شد,O
,که,O
,این,O
,مطالعات,O
,در,O
,دستور,O
,کار,O
,دفتر,O
,این,O
,مدیریت,O
,قرار,O
,گیرد,O
,.,O
Sentence: 24,حسینی,B_PER
,با,O
,تقدیر,O
,از,O
,همه,O
,دست,O
,اندرکاران,O
,برگزاری,O
,جشنواره,O
,بهار,O
,نارنج,O
,در,O
,پنج,O
,دوره,O
,گذشته,O
,گفت,O
,:,O
,سعی,O
,شد,O
,از,O
,پیشنهادات,O
,و,O
,نظرات,O
,ارزنده,O
,همه,O
,عزیزانی,O
,که,O
,تجربه,O
,اجرایی,O
,داشتند,O
,بهره,O
,برده,O
,تا,O
,این,O
,جشنواره,O
,به,O
,نحو,O
,شایسته ای,O
,برای,O
,مردم,O
,بابل,B_LOC
,برگزار,O
,شود,O
,.,O
Sentence: 25,فارس,B_ORG
,از,O
,آخرین,O
,وضعیت,O
,صبا,B_ORG
,در,O
,لیگ,O
,برتر,O
,گزارش,O
,می دهد,O
,.,O
Sentence: 26,غیبت,O
,آقای,O
,گل,O
,صبا,B_ORG
,در,O
,ترکیب,O
,اصلی,O
,شاگردان,O
,دایی,B_PER
,/,O
,صبای,B_ORG
,قم,I_ORG
,در,O
,فکر,O
,نهمین,O
,پیروزی,O
,.,O
Sentence: 27,خبرگزاری,B_ORG
,فارس,I_ORG
,:,O
,غیبت,O
,آقای,O
,گل,O
,صبا,B_PER
,در,O
,ترکیب,O
,اصلی,O
,شاگردان,O
,دایی,B_PER
,/,O
,صبای,B_ORG
,قم,I_ORG
,در,O
,فکر,O
,نهمین,O
,پیروزی,O
,.,O
Sentence: 28,تیم,B_ORG
,فوتبال,I_ORG
,صبای,I_ORG
,قم,I_ORG
,در,O
,مسابقه,O
,حساس,O
,هفته,O
,بیست,O
,و,O
,هشتم,O
,لیگ,O
,برتر,O
,فوتبال,O
,باشگاه های,O
,کشور,O
,در,O
,غیاب,O
,بهترین,O
,گلزن,O
,خود,O
,برابر,O
,سیاه جامگان,B_ORG
,خراسان,I_ORG
,به,O
,میدان,O
,می رود,O
,.,O
Sentence: 29,به,O
,گزارش,O
,خبرگزاری,B_ORG
,فارس,I_ORG
,از,O
,قم,B_LOC
,،,O
,در,O
,حالی,O
,که,O
,پانزدهمین,O
,دوره,O
,رقابت های,O
,لیگ,O
,برتر,O
,فوتبال,O
,باشگاه های,O
,کشور,O
,جام,O
,خلیج,B_LOC
,فارس,I_LOC
,امروز,O
,دیدارهای,O
,هفته,O
,بیست,O
,و,O
,هشتم,O
,خود را,O
,پیش,O
,رو,O
,دارد,O
,،,O
,تیم,B_ORG
,فوتبال,I_ORG
,صبای,I_ORG
,قم,I_ORG
,در,O
,چهاردهمین,O
,بازی,O
,خانگی,O
,میزبان,O
,سیاه جامگان,B_ORG
,خراسان,I_ORG
,خواهد,O
,بود,O
,.,O
Sentence: 30,این,O
,در,O
,حالی,O
,است,O
,که,O
,موقعیت,O
,کنونی,O
,تیم هایی,O
,که,O
,در,O
,انتهای,O
,جدول,O
,رده بندی,O
,لیگ,O
,برتر,O
,فوتبال,O
,باشگاه های,O
,کشور,O
,قرار,O
,گرفته اند,O
,،,O
,در,O
,سه,O
,هفته,O
,باقی مانده,O
,از,O
,لیگ,O
,پانزدهم,O
,به,O
,صبای,B_ORG
,قم,I_ORG
,و,O
,شاگردان,O
,علی,B_PER
,دایی,I_PER
,نیز,O
,ارتباط,O
,دارد,O
,زیرا,O
,صبا,B_ORG
,در,O
,دو,O
,بازی,O
,از,O
,سه,O
,مسابقه,O
,آتی,O
,خود,O
,باید,O
,با,O
,سیاه جامگان,B_ORG
,خراسان,I_ORG
,رده,O
,چهاردهمی,O
,و,O
,ملوان,B_ORG
,بندر,I_ORG
,انزلی,I_ORG
,رده,O
,سیزدهمی,O
,لیگ,O
,برتر,O
,فوتبال,O
,ایران,B_LOC
,بازی,O
,کند,O
,.,O
Sentence: 31,8,O
,پیروزی,O
,،,O
,13,O
,تساوی,O
,و,O
,6,O
,باخت,O
,به,O
,دست,O
,آمدن,O
,هر,O
,نتیجه,O
,در,O
,بازی های,O
,صبای,B_ORG
,قم,I_ORG
,با,O
,تیم های,O
,سیاه جامگان,B_ORG
,خراسان,I_ORG
,و,O
,ملوان,B_ORG
,بندر,I_ORG
,انزلی,I_ORG
,نقش,O
,مهمی,O
,در,O
,حفظ,O
,یا,O
,سقوط,O
,این,O
,دو,O
,تیم,O
,در,O
,جدول,O
,رده بندی,O
,پایانی,O
,پانزدهمین,O
,دوره,O
,رقابت های,O
,لیگ,O
,برتر,O
,فوتبال,O
,باشگاه های,O
,کشور,O
,ایفا,O
,می کند,O
,و,O
,به,O
,همین,O
,دلیل,O
,صبا,B_ORG
,بازی های,O
,سختی,O
,پیش,O
,رو,O
,دارد,O
,.,O
Sentence: 32,صبای,B_ORG
,قم,I_ORG
,بر,O
,اساس,O
,برنامه ریزی,O
,سازمان,B_ORG
,لیگ,I_ORG
,برتر,I_ORG
,در,O
,هفته,O
,بیست,O
,و,O
,هشتم,O
,رقابت های,O
,لیگ,O
,برتر,O
,فوتبال,O
,باشگاه های,O
,کشور,O
,از,O
,ساعت,B_TIM
,18,I_TIM
,امروز,I_TIM
,پنجشنبه,I_TIM
,نهم,I_TIM
,اردیبهشت ماه,I_TIM
,در,O
,ورزشگاه,B_LOC
,یادگار,I_LOC
,امام,I_LOC
,شهر,I_LOC
,مقدس,I_LOC
,قم,I_LOC
,میزبان,O
,و,O
,پذیرای,O
,شاگردان,O
,فرهاد,B_PER
,کاظمی,I_PER
,در,O
,تیم,B_ORG
,سیاه جامگان,I_ORG
,خراسان,I_ORG
,است,O
,.,O
Sentence: 33,این,O
,در,O
,حالی,O
,است,O
,که,O
,صبا,B_ORG
,همانند,O
,اکثر,O
,بازی های,O
,این,O
,فصل,O
,در,O
,این,O
,دیدار,O
,نیز,O
,نمی تواند,O
,تمام,O
,بازیکنان,O
,اصلی,O
,خود را,O
,در,O
,اختیار,O
,داشته,O
,باشد,O
,زیرا,O
,جلال الدین,B_PER
,علی,I_PER
,محمدی,I_PER
,هافبک,O
,گلزن,O
,و,O
,بازی ساز,O
,صبای,B_ORG
,قم,I_ORG
,که,O
,مدت,O
,زیادی,O
,است,O
,از,O
,آسیب دیدگی,O
,رنج,O
,می برد,O
,در,O
,این,O
,بازی,O
,نیز,O
,غایب,O
,است,O
,.,O
Sentence: 34,در,O
,هفته های,O
,زیادی,O
,که,O
,علی,B_PER
,محمدی,I_PER
,نتوانسته,O
,به,O
,دلیل,O
,مصدومیت,O
,صبا,B_ORG
,را,O
,همراهی,O
,کند,O
,،,O
,تیم,B_ORG
,فوتبال,I_ORG
,صبای,I_ORG
,قم,I_ORG
,تا,O
,پایان,O
,هفته,O
,بیست,O
,و,O
,هفتم,O
,از,O
,فصل,O
,جاری,O
,مسابقات,O
,لیگ,O
,بر تر,O
,فوتبال,O
,باشگاه های,O
,کشور,O
,در,O
,مقابل,O
,حریفان,O
,خود,O
,موفق,O
,به,O
,زدن,O
,27,O
,گل,O
,در,O
,27,O
,مسابقه,O
,شده,O
,است,O
,.,O
Sentence: 35,گلزنی,O
,10,O
,بازیکن,O
,صبا,B_ORG
,در,O
,لیگ,O
,پانزدهم,O
,در,O
,این,O
,فصل,O
,تعداد,O
,10,O
,بازیکن,O
,صبا,B_ORG
,یعنی,O
,جلال الدین,B_PER
,علی,I_PER
,محمدی,I_PER
,،,O
,محمد,B_PER
,قاضی,I_PER
,،,O
,عبدالکریم,B_PER
,اسلامی,I_PER
,،,O
,محمد,B_PER
,اوسانی,I_PER
,،,O
,ابوالفضل,B_PER
,ابراهیمی,I_PER
,،,O
,فرید,B_PER
,بهزادی,I_PER
,کریمی,I_PER
,،,O
,امیرحسین,B_PER
,صادقی,I_PER
,،,O
,فرشید,B_PER
,باقری,I_PER
,،,O
,محمد,B_PER
,بایوج,I_PER
,رضایی,I_PER
,و,O
,اکبر,B_PER
,صادقی,I_PER
,برای,O
,نماینده,O
,فوتبال,O
,استان,B_LOC
,قم,I_LOC
,مقابل,O
,رقبای,O
,لیگ,O
,برتری,O
,گلزنی,O
,کرده اند,O
,.,O
Sentence: 36,از,O
,تعداد,O
,27,O
,گل,O
,زده,O
,توسط,O
,شاگردان,O
,علی,B_PER
,دایی,I_PER
,تا,O
,پایان,O
,هفته,O
,بیست,O
,و,O
,هفتم,O
,لیگ,O
,پانزدهم,O
,فوتبال,O
,باشگاه های,O
,برتر,O
,کشور,O
,،,O
,12,O
,گل,O
,را,O
,مهاجمین,O
,صبای,B_ORG
,قم,I_ORG
,یعنی,O
,محمد,B_PER
,قاضی,I_PER
,،,O
,عبدالکریم,B_PER
,اسلامی,I_PER
,،,O
,فرید,B_PER
,بهزادی,I_PER
,کریمی,I_PER
,،,O
,محمد,B_PER
,بایوج,I_PER
,رضایی,I_PER
,و,O
,محمد,B_PER
,اوسانی,I_PER
,درون,O
,دروازه,O
,رقبای,O
,لیگ,O
,برتری,O
,قرار,O
,داده اند,O
,.,O
Sentence: 37,هافبک های,O
,صبای,B_ORG
,قم,I_ORG
,یعنی,O
,جلال الدین,B_PER
,علی,I_PER
,محمدی,I_PER
,،,O
,اکبر,B_PER
,صادقی,I_PER
,،,O
,ابوالفضل,B_PER
,ابراهیمی,I_PER
,و,O
,فرشید,B_PER
,باقری,I_PER
,مجموعا,O
,موفق,O
,به,O
,زدن,O
,12,O
,گل,O
,مقابل,O
,رقبا,O
,شده اند,O
,،,O
,ضمن اینکه,O
,نام,O
,یک,O
,مدافع,O
,یعنی,O
,امیرحسین,B_PER
,صادقی,I_PER
,با,O
,یک,O
,گل,O
,زده,O
,در,O
,جمع,O
,گلزنان,O
,فصل,O
,جاری,O
,این,O
,تیم,O
,به,O
,چشم,O
,می خورد,O
,.,O
Sentence: 38,اما,O
,از,O
,27,O
,گل,O
,زده,O
,صبای,B_ORG
,قم,I_ORG
,تا,O
,پایان,O
,هفته,O
,بیست,O
,و,O
,هفتم,O
,بازی های,O
,لیگ,O
,برتر,O
,،,O
,تنها,O
,25,O
,گل,O
,صبا,B_ORG
,را,O
,بازیکنان,O
,این,O
,تیم,O
,وارد,O
,دروازه,O
,رقبا,O
,کرده اند,O
,زیرا,O
,در,O
,بازی,O
,صبای,B_ORG
,قم,I_ORG
,با,O
,گسترش,B_ORG
,فولاد,I_ORG
,تبریز,I_ORG
,که,O
,با,O
,تساوی,O
,یک,O
,بر,O
,یک,O
,تمام,O
,شد,O
,و,O
,همچنین,O
,دیدار,O
,صبای,B_ORG
,قم,I_ORG
,با,O
,تراکتورسازی,B_ORG
,تبریز,I_ORG
,در,O
,نیم فصل,O
,نخست,O
,لیگ,O
,پانزدهم,O
,که,O
,در,O
,ورزشگاه,B_LOC
,یادگار,I_LOC
,امام,I_LOC
,قم,I_LOC
,دو,O
,بر,O
,یک,O
,به,O
,نفع,O
,صبا,B_ORG
,به,O
,پایان,O
,رسید,O
,،,O
,مدافعان,O
,این,O
,دو,O
,رقیب,O
,تبریزی,O
,،,O
,هر,O
,کدام,O
,یک,O
,گل,O
,برای,O
,صبای,B_ORG
,قم,I_ORG
,به,O
,ثمر,O
,رسانده اند,O
,.,O
Sentence: 39,صدرنشینی,O
,علی,B_PER
,محمدی,I_PER
,در,O
,بین,O
,گلزنان,O
,صبای,B_ORG
,قم,I_ORG
,جلال الدین,B_PER
,علی,I_PER
,محمدی,I_PER
,با,O
,6,O
,گل,O
,،,O
,محمد,B_PER
,قاضی,I_PER
,با,O
,چهار,O
,گل,O
,،,O
,عبدالکریم,B_PER
,اسلامی,I_PER
,و,O
,فرید,B_PER
,بهزادی,I_PER
,کریمی,I_PER
,با,O
,سه,O
,گل,O
,،,O
,ابوالفضل,B_PER
,ابراهیمی,I_PER
,،,O
,فرشید,B_PER
,باقری,I_PER
,و,O
,اکبر,B_PER
,صادقی,I_PER
,با,O
,دو,O
,گل,O
,،,O
,محمد,B_PER
,بایوج,I_PER
,رضایی,I_PER
,محمد,B_PER
,اوسانی,I_PER
,و,O
,امیرحسین,B_PER
,صادقی,I_PER
,هر,O
,کدام,O
,با,O
,یک,O
,گل,O
,،,O
,گلزنان,O
,تیم,B_ORG
,فوتبال,I_ORG
,صبای,I_ORG
,قم,I_ORG
,در,O
,فصل,O
,جاری,O
,لیگ,O
,برتر,O
,فوتبال,O
,باشگاه های,O
,کشور,O
,تا,O
,پایان,O
,هفته,O
,بیست,O
,و,O
,هفتم,O
,جام,O
,خلیج,B_LOC
,فارس,I_LOC
,محسوب,O
,می شوند,O
,.,O
Sentence: 40,جلال الدین,B_PER
,علی,I_PER
,محمدی,I_PER
,در,O
,دیدارهای,O
,صبای,B_ORG
,قم,I_ORG
,با,O
,نفت,B_ORG
,تهران,I_ORG
,،,O
,فولاد,B_ORG
,مبارکه,I_ORG
,سپاهان,I_ORG
,اصفهان,I_ORG
,،,O
,سیاه جامگان,B_ORG
,خراسان,I_ORG
,،,O
,ملوان,B_ORG
,بندر,I_ORG
,انزلی,I_ORG
,،,O
,استقلال,B_ORG
,اهواز,I_ORG
,،,O
,نفت,B_ORG
,تهران,I_ORG
,برای,O
,نماینده,O
,قم,B_LOC
,گلزنی,O
,کرده,O
,است,O
,اما,O
,از,O
,هفته,O
,هفدهم,O
,به,O
,بعد,O
,به,O
,دلیل,O
,آسیب دیدگی,O
,از,O
,حضور,O
,در,O
,ترکیب,O
,اصلی,O
,شاگردان,O
,دایی,B_PER
,محروم,O
,است,O
,.,O
Sentence: 41,محمد,B_PER
,قاضی,I_PER
,در,O
,بازی های,O
,صبای,B_ORG
,قم,I_ORG
,با,O
,استقلال,B_ORG
,صنعتی,I_ORG
,خوزستان,I_ORG
,،,O
,پرسپولیس,B_ORG
,تهران,I_ORG
,،,O
,فولاد,B_ORG
,خوزستان,I_ORG
,و,O
,استقلال,B_ORG
,اهواز,I_ORG
,موفق,O
,به,O
,گلزنی,O
,شده,O
